@relation biodeg-weka.filters.unsupervised.attribute.Standardize

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr5 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr8 numeric
@attribute Attr9 numeric
@attribute Attr10 numeric
@attribute Attr11 numeric
@attribute Attr12 numeric
@attribute Attr13 numeric
@attribute Attr14 numeric
@attribute Attr15 numeric
@attribute Attr16 numeric
@attribute Attr17 numeric
@attribute Attr18 numeric
@attribute Attr19 numeric
@attribute Attr20 numeric
@attribute Attr21 numeric
@attribute Attr22 numeric
@attribute Attr23 numeric
@attribute Attr24 numeric
@attribute Attr25 numeric
@attribute Attr26 numeric
@attribute Attr27 numeric
@attribute Attr28 numeric
@attribute Attr29 numeric
@attribute Attr30 numeric
@attribute Attr31 numeric
@attribute Attr32 numeric
@attribute Attr33 numeric
@attribute Attr34 numeric
@attribute Attr35 numeric
@attribute Attr36 numeric
@attribute Attr37 numeric
@attribute Attr38 numeric
@attribute Attr39 numeric
@attribute Attr40 numeric
@attribute Attr41 numeric
@attribute Class {0,1}

@data
-1.579116,-0.455436,-0.489991,-0.166611,-0.420109,-0.27012,-0.740035,-0.618477,0.317642,-1.015972,-0.461072,0.256124,-0.634843,1.525484,-1.007218,-0.814479,-1.146428,0.361406,-0.083798,-0.23288,-0.13479,-0.391092,-0.293552,-0.203523,-0.416367,-0.156756,-1.254319,0.0768,-0.165039,-0.738113,0.868382,-0.201625,-0.581014,-0.560635,-0.76462,-0.969625,-1.505087,-0.629368,-1.108299,-0.160469,-0.32297,1
-1.120179,-1.148921,-0.489991,-0.166611,-0.420109,-0.27012,-0.740035,-0.68409,-0.191647,-0.452729,-0.461072,0.256124,-1.739011,0.053786,-1.307645,-0.590125,-0.522695,0.427756,-0.083798,-0.23288,-0.13479,-1.396631,-0.08472,-0.203523,-0.416367,-0.156756,-0.007256,-1.27601,-0.165039,-0.738113,-0.537222,-0.201625,-0.581014,-0.560635,-0.76462,-0.60348,-0.920114,-0.629368,-1.105078,-0.160469,-0.32297,1
-1.555346,0.218562,-0.489991,-0.166611,-0.420109,-0.27012,-0.740035,-1.132449,0.317642,1.236998,-0.461072,0.256124,-0.338686,1.570004,-0.890924,-0.814479,-0.092535,0.693158,-0.083798,-0.23288,-0.13479,-1.521028,-0.293552,-0.203523,-0.416367,-0.156756,-1.210097,-0.042751,-0.165039,-0.738113,1.06012,-0.201625,-0.581014,-0.560635,0.030917,-0.842575,-0.220014,-0.629368,-0.828102,-0.160469,-0.32297,1
-3.259447,-0.432701,-0.489991,-0.166611,-0.420109,-0.27012,-0.740035,-1.865132,-0.700936,0.110513,-0.461072,0.256124,-2.357003,-0.550412,-3.600153,-0.814479,2.036757,1.190787,-0.083798,-0.23288,-0.13479,-2.225941,-0.293552,-0.203523,-0.416367,-0.156756,-3.545025,6.759053,-0.165039,-0.035265,-0.636907,-0.201625,-0.581014,-0.560635,0.030917,-0.872587,3.798563,-0.629368,-1.561605,-0.160469,-0.32297,1
-0.999502,0.39082,-0.489991,-0.166611,-0.420109,-0.27012,-0.740035,-0.837188,0.317642,1.236998,-0.461072,-0.095979,-0.047665,1.783699,-0.440821,-0.365771,-0.200075,0.527282,-0.083798,-0.23288,-0.13479,-1.054541,-0.293552,-0.203523,-0.416367,-0.156756,-1.019942,-0.004998,-0.165039,0.131767,1.392562,-0.201625,-0.581014,-0.560635,-0.76462,-0.567466,-0.238683,-0.629368,-0.504427,-0.160469,-0.32297,1
-0.999502,0.43196,-0.489991,-0.166611,-0.420109,-0.27012,-0.740035,-0.924673,0.317642,1.236998,-0.461072,-0.101176,-0.280482,1.489868,-0.596957,-0.590125,0.015005,0.593633,-0.083798,-0.23288,-0.13479,-1.241135,-0.293552,-0.203523,-0.416367,-0.156756,-1.042053,-0.042751,-0.165039,0.125715,0.990961,-0.201625,-0.581014,-0.560635,-0.76462,-0.567466,-0.00376,-0.629368,-0.584138,-0.160469,-0.32297,1
0.397422,2.379493,0.193793,-0.166611,-0.420109,-0.27012,-0.740035,-2.838399,-0.700936,0.673755,-0.461072,0.256124,-1.035425,-0.799723,-0.301914,-0.814479,1.692629,0.726333,-0.083798,-0.23288,-0.13479,-1.178937,-0.293552,-0.203523,-0.416367,-0.156756,-0.953609,2.813881,-0.165039,0.806538,-0.891127,-0.201625,-0.581014,-0.560635,0.030917,0.794076,3.149803,-0.629368,0.542283,-0.160469,-0.32297,1
-0.471084,0.914934,-0.489991,-0.166611,-0.420109,-0.27012,-0.740035,-0.596606,0.826931,0.110513,-0.461072,0.205452,-0.100734,1.421181,-0.163007,0.30729,-0.716268,0.361406,-0.083798,-0.23288,-0.13479,-0.619153,-0.293552,-0.203523,-0.416367,-0.156756,-0.427366,-0.004998,-0.165039,0.196243,0.582205,-0.201625,-0.581014,-0.560635,-0.76462,-0.539454,-0.646297,-0.629368,-0.547101,-0.160469,-0.32297,1
-0.341266,0.009855,-0.489991,-0.166611,-0.420109,-0.27012,0.158914,0.803148,0.317642,-1.015972,-0.461072,0.256124,-0.86766,-0.605108,-0.4279,-0.814479,-0.974364,-0.534326,-0.083798,-0.23288,-0.13479,0.925438,-0.08472,-0.203523,-0.416367,-0.156756,-0.179722,0.265564,-0.165039,-0.738113,-0.762825,-0.201625,-0.581014,-0.560635,-0.76462,-0.292356,-0.997903,-0.629368,-0.555958,-0.160469,-0.32297,1
0.470559,0.651614,-0.489991,-0.166611,0.008532,-0.27012,0.158914,0.45321,-0.700936,1.236998,0.501522,-1.419936,0.010539,-0.117934,0.238639,0.980352,1.197945,-0.136223,-0.083798,2.916972,-0.13479,-0.411825,-0.08472,-0.203523,-0.416367,-0.156756,0.474765,0.039047,-0.165039,1.864383,-0.456616,-0.201625,0.076679,0.318874,0.030917,-0.030252,1.464895,0.287736,0.061601,-0.160469,-0.32297,1
