@relation segment-weka.filters.unsupervised.attribute.Standardize

@attribute region-centroid-col numeric
@attribute region-centroid-row numeric
@attribute region-pixel-count numeric
@attribute short-line-density-5 numeric
@attribute short-line-density-2 numeric
@attribute vedge-mean numeric
@attribute vegde-sd numeric
@attribute hedge-mean numeric
@attribute hedge-sd numeric
@attribute intensity-mean numeric
@attribute rawred-mean numeric
@attribute rawblue-mean numeric
@attribute rawgreen-mean numeric
@attribute exred-mean numeric
@attribute exblue-mean numeric
@attribute exgreen-mean numeric
@attribute value-mean numeric
@attribute saturation-mean numeric
@attribute hue-mean numeric
@attribute class {0,1,2,3,4,5,6}

@data
1.275912,0.949531,0,2.410147,-0.19451,-0.392976,-0.115095,-0.363873,-0.130916,0.591412,0.560071,0.712983,0.469592,-0.765286,1.296198,-1.428735,0.70092,-0.472591,-0.438515,5
-0.163301,0.114514,0,-0.35697,-0.19451,-0.59882,-0.121713,-0.579319,-0.133963,-0.947253,-0.936767,-0.956461,-0.935919,0.865381,-0.838392,0.552706,-0.992082,2.510221,-0.492031,2
1.056604,-1.433747,0,-0.35697,-0.19451,-0.351806,-0.110089,-0.363873,-0.122733,2.252318,2.256706,2.196088,2.290634,-1.791637,1.472186,-0.697721,2.204955,-0.996656,-0.606356,1
-1.273551,0.86255,0,-0.35697,-0.19451,-0.063626,-0.087582,1.821364,-0.025407,0.171336,0.192206,0.199897,0.115158,0.05005,0.331091,-0.611153,0.180594,-0.700711,-0.411537,5
-0.876054,1.280058,0,-0.35697,-0.19451,-0.166549,-0.093518,0.051629,-0.107432,0.328501,0.325398,0.399006,0.243488,-0.295267,0.739842,-0.957424,0.382513,-0.542982,-0.426686,5
0.330144,1.071304,0,-0.35697,-0.19451,-0.125376,-0.103492,0.174743,-0.107432,0.321709,0.35711,0.353058,0.246544,0.059641,0.473019,-0.861239,0.335917,-0.661401,-0.381712,5
0.98807,1.836736,0,-0.35697,-0.19451,-0.187131,-0.092209,-0.348483,-0.130536,-0.505833,-0.534016,-0.604193,-0.355382,0.155562,-1.071153,1.658847,-0.557183,-0.399353,2.597816,6
-1.314671,-0.216014,0,-0.35697,-0.19451,-0.557652,-0.12194,-0.502374,-0.137589,-0.828894,-0.740149,-0.869671,-0.856477,1.479277,-0.951934,0.129486,-0.891123,0.601202,0.30093,0
-1.698461,-0.7379,0,-0.35697,-0.19451,3.806265,5.836508,1.88292,3.351712,-0.411728,-0.537187,-0.313188,-0.40427,-0.803651,0.319738,0.264146,-0.339731,0.737547,-0.695974,2
-0.7664,-0.668315,0,2.410147,-0.19451,0.450986,0.055703,0.420964,0.020354,-0.408818,-0.353255,-0.369348,-0.505099,0.836605,-0.071984,-0.716956,-0.396684,0.046039,-0.19218,0
0.371264,-0.703107,0,-0.35697,-0.19451,0.945012,-0.097701,-0.41004,-0.128602,-0.275906,-0.270801,-0.251926,-0.306494,0.270668,-0.066307,-0.159078,-0.277604,-0.523316,-0.453198,3
1.687116,0.514626,0,-0.35697,-0.19451,-0.59882,-0.125904,-0.640875,-0.139668,-0.960835,-0.936767,-0.989646,-0.938975,0.999671,-0.980319,0.658511,-1.025735,2.023552,-0.473362,4
0.165662,0.305872,0,-0.35697,-0.19451,-0.681158,-0.124274,-0.656264,-0.137857,-0.969566,-0.936767,-1.01262,-0.938975,1.086,-1.082507,0.745079,-1.049033,-1.383132,-0.473362,4
-0.533384,1.280058,0,2.410147,4.390359,-0.104794,-0.094938,-0.317706,-0.121402,0.685518,0.667895,0.771695,0.591812,-0.717322,1.13724,-1.20751,0.760461,-0.620036,-0.456291,5
1.303326,1.680171,0,2.410147,-0.19451,0.142221,-0.102119,-0.040704,-0.069576,-0.80173,-0.775032,-0.892645,-0.709815,0.894158,-1.264174,1.245249,-0.85747,0.002019,2.166045,6
1.125138,-0.146429,0,-0.35697,-0.19451,-0.310637,-0.119958,-0.625486,-0.139605,-0.938521,-0.924082,-0.948803,-0.929808,0.894158,-0.838392,0.52385,-0.984316,2.218218,-0.454686,4
-1.629927,-1.259785,0,-0.35697,-0.19451,-0.084208,-0.082712,-0.225372,-0.104338,-0.457324,-0.400822,-0.425506,-0.544821,0.884566,-0.162818,-0.611153,-0.453634,0.06994,-0.206035,0
1.070311,1.019116,0,-0.35697,-0.19451,0.677415,-0.069846,0.328631,-0.111179,0.468203,0.474447,0.549612,0.359595,-0.32404,0.927188,-1.245981,0.535244,-0.526351,-0.399559,5
1.618582,-0.059448,0,-0.35697,-0.19451,0.945012,-0.030093,-0.240763,-0.10899,0.282905,0.341255,0.279029,0.22821,0.299445,0.206192,-0.649624,0.260843,-0.795289,-0.354508,3
0.289023,-0.459561,0,-0.35697,-0.19451,3.044623,-0.024783,-0.502374,-0.130409,0.285815,0.376139,0.233081,0.258767,0.587209,-0.117401,-0.38992,0.214246,-1.006432,-0.309216,3
0.809882,0.375456,0,-0.35697,-0.19451,-0.434145,-0.11367,-0.610097,-0.135544,-0.955984,-0.927254,-0.987093,-0.935919,1.038039,-0.991673,0.639274,-1.023146,0.441879,-0.361114,4
0.727641,0.079721,0,-0.35697,-0.19451,-0.537067,-0.11971,-0.425429,-0.136645,-0.815311,-0.711607,-0.867118,-0.844256,1.603976,-1.014381,0.110248,-0.867825,0.599275,0.415183,0
