attribute_1,attribute_2,attribute_3,attribute_4,attribute_5,attribute_6,attribute_7,attribute_8,attribute_9,attribute_10,attribute_11,attribute_12,attribute_13,attribute_14,attribute_15,attribute_16,attribute_17,attribute_18,attribute_19,attribute_20,attribute_21,attribute_22,attribute_23,attribute_24,attribute_25,attribute_26,attribute_27,attribute_28,attribute_29,attribute_30,attribute_31,attribute_32,attribute_33,attribute_34,attribute_35,attribute_36,attribute_37,attribute_38,attribute_39,attribute_40,attribute_41,attribute_42,attribute_43,attribute_44,attribute_45,attribute_46,attribute_47,attribute_48,attribute_49,attribute_50,attribute_51,attribute_52,attribute_53,attribute_54,attribute_55,attribute_56,attribute_57,attribute_58,attribute_59,attribute_60,class
-0.39859,-0.04055,-0.026861,-0.713384,0.363579,-0.101009,0.520383,0.297126,1.122563,0.021135,-0.566016,-0.656956,-0.351196,-1.410969,-1.237431,-0.649845,-0.401943,-0.582796,0.011584,-0.317326,-0.119309,-0.457924,-0.856099,-0.492038,-0.017652,-0.246035,0.033564,0.480528,0.154114,-0.884387,-1.746676,-0.837755,0.45944,1.519912,1.779512,1.763784,1.272937,1.267965,0.846419,-0.206014,-1.392381,0.030266,0.258704,1.586942,0.440998,-0.164489,-0.199567,0.686931,-0.379064,0.876396,0.59385,-1.112747,-0.596166,0.679259,-0.294934,1.478069,1.759539,0.069702,0.171265,-0.657361,0
0.701845,0.420616,1.053078,0.322552,0.775804,2.600942,1.518961,2.504938,1.315152,0.587289,1.927492,2.891219,2.969555,2.937428,2.074698,2.432467,2.214894,1.663606,1.153496,0.832861,-0.340783,-0.856153,-1.004395,-1.176224,-1.43073,-1.601273,-1.526742,-1.759458,-0.831526,-1.712928,-0.587289,-0.676902,-1.059593,-0.731413,-1.010956,0.126277,0.082085,-1.098528,-0.712293,-0.639235,-0.712122,-1.303832,-0.765805,-0.384685,-0.891206,-1.047734,-0.798743,-0.275952,-0.306749,-1.048227,-0.297185,-0.521092,-0.256239,-0.841122,0.015466,1.896471,1.068155,-0.471269,-0.443484,-0.418842,0
-0.128918,0.599621,1.719257,1.169355,0.399581,2.088299,1.964032,2.845505,3.224987,3.058726,2.99377,3.25389,1.994116,1.431419,1.595208,1.352304,0.985739,1.157735,1.504287,1.137827,0.730515,0.193155,-0.87009,-1.287467,-0.581087,-1.933022,-0.79442,0.671515,-0.160142,1.225245,1.620265,0.306981,-1.11867,-0.572272,0.118198,-0.304965,1.032849,1.577394,1.063423,0.899428,1.025346,-0.116123,-0.242039,0.060957,0.091459,-1.067892,0.141998,-0.272748,-1.082741,-0.718919,-1.06331,1.015136,0.83436,-0.197357,1.228847,2.820442,4.110246,1.306209,0.252153,0.256962,0
-0.833544,-0.647348,0.48058,-0.717683,-0.984703,-1.146598,-0.193349,-0.084543,-0.998443,-0.609,-1.114603,-0.36425,-1.808325,-0.428445,-0.717051,-0.710881,-1.314802,-0.857335,-0.383008,-0.631048,-1.299211,-0.997623,-0.365244,-0.786456,-1.475641,-0.701715,-0.718705,-1.863594,-1.802599,-1.019382,0.567892,1.383248,0.943187,-0.231503,0.010531,-0.316702,0.737741,2.543712,3.31484,3.389052,1.886775,1.317543,0.535696,0.796191,1.531822,1.528833,1.645114,1.060228,0.449774,0.656857,0.668797,-0.137035,-1.006911,0.555985,-0.111516,-0.160672,-0.487459,-0.548551,-0.637616,1.032149,0
2.045854,0.854476,0.111059,-0.311475,-0.291661,-0.671177,-0.013702,1.314129,1.506895,1.767954,1.35027,1.035031,1.080395,0.710942,0.645478,0.662426,1.19319,0.638482,-1.16909,-0.378624,-0.753477,-0.76236,-0.295693,-0.555187,-1.467067,-1.986978,-0.010807,1.290009,0.35016,-0.491634,0.027218,0.501131,-0.625238,-1.319543,-0.762048,0.125898,0.402619,-0.084317,-0.215997,-0.381765,-0.533875,-0.200875,-0.444926,-0.975122,-0.844381,-0.805084,-0.997702,-1.328555,-0.804608,-1.157997,-0.039035,-1.071228,-0.751966,-0.060386,0.241211,-1.171811,-0.107198,-0.486726,0.446284,0.574988,0
-0.024529,0.208237,-0.419802,-0.784309,-0.662484,-0.094242,-0.02665,0.56958,0.274499,0.71153,0.473134,1.247779,2.560935,3.181235,3.309201,2.666295,2.028302,1.721343,0.84728,-0.193589,-1.55792,-0.882336,-0.231737,-1.611996,-1.923531,-0.512867,-0.664564,-1.34502,-1.252755,-0.336254,0.250123,0.181768,-0.422829,-0.793253,-0.971979,-0.375766,0.070414,0.357523,0.399853,0.10295,-0.10842,-0.078785,-1.253598,-0.677278,-0.514628,-0.386233,-0.691788,-0.673282,-0.710042,-0.901868,-0.472062,-0.925909,-1.318511,-0.978093,-1.12737,0.118262,-0.366467,-0.811309,-0.459662,-0.061063,0
0.110307,1.734332,2.296959,1.867859,1.659658,1.12392,-0.787317,0.062253,0.255915,1.064168,-0.432637,-1.316617,-1.574929,0.478079,1.079209,0.711427,0.375523,-0.099867,-1.172191,-0.532058,0.633159,1.364783,1.167281,-0.488274,-0.606809,-0.072784,-0.532673,-0.637146,-1.766387,-1.658115,0.358071,0.906314,-0.584563,-0.933799,-0.369198,0.497698,1.048271,0.416215,1.115665,1.690869,1.24158,-0.240584,-0.365786,-0.293906,-0.440763,-0.753567,-0.115613,0.212699,-0.034178,-0.331067,0.285735,0.693359,1.995778,0.295739,-0.323152,0.9725,0.238494,0.981626,-0.702326,0.753877,0
0.988915,0.496465,1.050475,-0.472669,0.730801,-0.20929,-0.308258,-0.863149,-0.2661,0.561994,0.332973,0.416777,-0.053953,0.507871,1.179975,0.254088,-0.585122,-1.271055,0.630992,1.435939,0.675437,-0.348108,0.135605,1.023543,0.350621,0.514837,0.753267,-0.358044,-1.437562,-2.131956,-1.741536,-1.7663,-1.540919,-0.011387,-0.100224,-1.059543,-0.718207,0.250467,0.517396,-0.316838,-1.017771,-0.347857,-0.421904,-0.52798,0.114542,0.562714,-0.114463,-1.057794,-0.651634,-0.192026,-0.905088,-0.552232,0.182833,-0.882213,0.396411,0.25773,0.117502,-0.502182,-0.508195,-0.239953,0
-0.29855,-0.028414,0.118866,-0.137386,-0.189055,-0.769306,-0.751711,-1.467949,-0.9258,-0.443096,-0.907376,-0.605554,0.780314,0.384447,-0.724839,-1.138562,-1.445265,-0.27805,0.912012,1.635061,1.439541,1.034554,0.096832,-1.020652,-1.380102,0.154846,1.054093,0.174021,-0.651297,-1.909531,-0.952256,-0.138064,-0.485295,-0.314533,-0.199787,-0.629437,-0.48979,-0.314862,-0.792665,-0.179147,-0.195498,-0.618114,-0.247795,-0.781561,-0.651146,-0.250349,0.269654,0.400149,0.716782,1.717961,-0.830141,0.112083,0.296142,0.487499,-0.492461,-0.579074,-0.22819,0.208809,-0.330241,-0.856127,0
-0.555173,-0.64128,-0.237644,-1.007831,-1.017105,-0.633955,-0.261324,-0.764502,-0.690977,-1.362632,-1.174887,-1.032477,-1.040743,-1.26201,-1.462328,-1.139852,-0.505858,-0.49294,-0.701627,-0.493985,-0.008766,0.55074,1.092533,1.251465,1.001429,0.2303,0.515944,0.829195,0.369723,0.492287,0.366483,0.255395,-0.518707,-1.611445,-1.420785,-1.037584,-0.852006,-0.951092,-1.286952,-1.488886,-1.328096,-0.807175,-0.624791,-0.567743,-1.055423,-0.685625,-0.411176,-0.642841,-1.188432,-0.045667,-0.355477,-0.458812,1.641687,0.953201,-0.125625,-0.247839,-0.798582,-0.687658,-0.378774,-0.498348,0
