@relation vehicle-weka.filters.unsupervised.attribute.Standardize

@attribute COMPACTNESS numeric
@attribute CIRCULARITY numeric
@attribute 'DISTANCE CIRCULARITY' numeric
@attribute 'RADIUS RATIO' numeric
@attribute 'PR.AXIS ASPECT RATIO' numeric
@attribute 'MAX.LENGTH ASPECT RATIO' numeric
@attribute 'SCATTER RATIO' numeric
@attribute ELONGATEDNESS numeric
@attribute 'PR.AXIS RECTANGULARITY' numeric
@attribute 'MAX.LENGTH RECTANGULARITY' numeric
@attribute 'SCALED VARIANCE_MAJOR' numeric
@attribute 'SCALED VARIANCE_MINOR' numeric
@attribute 'SCALED RADIUS OF GYRATION' numeric
@attribute 'SKEWNESS ABOUT_MAJOR' numeric
@attribute 'SKEWNESS ABOUT_MINOR' numeric
@attribute 'KURTOSIS ABOUT_MAJOR' numeric
@attribute 'KURTOSIS ABOUT_MINOR' numeric
@attribute 'HOLLOWS RATIO' numeric
@attribute class {0,1,2,3}

@data
0.160485,0.508649,0.057784,0.270646,1.306519,0.311358,-0.205723,0.136489,-0.224811,0.757884,-0.402146,-0.344731,0.285643,-0.328861,-0.076666,0.380766,-0.313537,0.183849,3
-0.325277,-0.625897,0.12119,-0.83475,-0.595044,0.094024,-0.596759,0.520535,-0.610593,-0.344374,-0.59326,-0.622048,-0.513214,-0.061731,0.533295,0.156833,0.010931,0.452709,3
1.253451,0.832805,1.516108,1.196788,0.545894,0.311358,1.147865,-1.143665,0.932534,0.688993,1.094916,1.104113,1.391753,0.071835,1.549895,-0.403,-0.151303,0.049418,1
-0.082396,-0.625897,-0.005621,-0.29699,0.165581,0.094024,-0.747158,0.648551,-0.610593,-0.344374,-0.911784,-0.740899,-1.465698,-1.263818,-0.076666,-0.291034,1.633267,1.528152,3
-1.053921,-0.139663,-0.766486,1.077286,5.236414,9.439378,-0.596759,0.520535,-0.610593,-0.275483,1.668259,-0.650346,0.408545,7.284361,0.533295,-0.179067,-1.449172,-1.698176,2
1.617773,1.967352,1.516108,0.091392,-1.482439,-0.557978,2.591692,-1.911757,2.861444,1.446796,2.910501,2.926487,2.743666,1.674618,-0.279986,-0.403,-1.286939,-1.698176,2
0.403367,-0.301741,-0.576269,0.121268,0.419123,-0.557978,-0.47644,0.136489,-0.610593,-0.344374,-0.402146,-0.446602,-0.08306,-0.863122,1.346575,-1.298732,1.795501,1.124861,2
-0.446718,-0.301741,-1.020107,-0.356741,0.419123,0.094024,-0.957716,0.904582,-0.996375,-0.137701,-0.848079,-0.899366,-0.328862,-0.729557,-0.686626,-1.074799,0.659865,0.856,3
-0.932481,-1.760444,-1.273729,-0.864625,-0.08796,-0.340644,-1.408912,1.672674,-1.382157,-1.446633,-1.516979,-1.22762,-1.926577,-1.130253,-0.889946,0.156833,1.795501,1.662582,3
-0.082396,-0.139663,1.008865,0.838281,0.03881,0.528691,0.425952,-0.631603,0.546752,-0.137701,0.426016,0.368372,-0.697566,-1.130253,-0.483306,0.156833,0.984333,1.124861,1
-0.932481,-1.436288,-0.766486,-0.774999,-0.08796,0.094024,-1.078035,1.160612,-0.996375,-1.239959,-1.13475,-0.984259,-1.465698,-0.863122,-0.889946,-0.291034,0.822099,0.856,3
-0.446718,-1.760444,-1.020107,-0.984128,-0.848585,-0.557978,-1.378832,1.672674,-1.382157,-2.066653,-1.294012,-1.22196,-1.742225,-0.996688,-0.279986,1.500431,1.146566,0.856,1
-0.689599,0.184493,-0.512864,0.061517,0.799435,-0.557978,-0.50652,0.264505,-0.610593,0.000081,-0.274736,-0.514517,0.531446,-0.195296,-0.279986,-0.179067,0.010931,-0.085012,2
-0.568159,-0.463819,0.184595,-0.745123,-0.468273,0.311358,-0.50652,0.39252,-0.610593,-0.275483,-0.497703,-0.537155,-0.421038,-0.061731,0.329975,0.044866,-0.313537,0.183849,3
0.039045,0.670727,-0.195837,1.017535,1.179748,-0.775311,0.155234,-0.503588,0.16097,0.413428,0.234902,0.14199,0.9616,-0.195296,-0.076666,-1.186766,1.3088,0.452709,2
0.281926,1.643196,1.325892,0.957783,0.419123,0.094024,1.057626,-1.143665,0.932534,1.240122,1.222325,1.041858,2.190611,0.2054,-0.076666,-1.186766,-0.47577,-0.219442,0
