x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,class
-0.21115,-1.478891,0.466442,0.159471,-0.870395,-1.02876,-0.086367,-0.848535,-0.800661,-1.584702,-1.274632,-0.453651,1.206685,1.784576,1.131141,0.653554,0.546461,2.137636,0.138983,1.834343,1.009032,0.112413,1.234673,-0.225802,-0.13771,1.143408,0.019978,-1.32541,-0.111282,-0.466553,-0.632198,-0.897591,-0.703034,0.475261,0.327806,-0.149982,-0.851119,0.573295,-0.519709,0.263329,2
0.398012,0.051827,-0.814395,-0.769136,0.100513,-0.359037,-0.57833,0.642237,-0.20749,-1.086204,-1.135193,0.460449,0.260689,1.325473,0.312486,0.786688,0.534474,1.112333,1.247712,-1.154852,-0.362387,-1.754651,-0.424393,0.445917,-1.316907,0.419816,0.131448,0.096288,-0.786392,2.403054,0.308409,1.259624,1.36509,-0.033086,-0.190203,0.695702,0.06607,0.924798,-0.777011,0.193526,0
-0.670518,0.64871,0.364654,0.335344,0.651893,0.751723,0.208811,0.795866,1.679872,0.402732,-1.729324,-0.858467,-0.179169,-2.103631,-1.005348,-1.581985,-1.28146,-0.25238,-0.252823,-0.402853,-1.405857,2.159195,0.568998,1.196662,-1.63669,0.215987,0.070646,0.623211,0.412684,-0.111655,0.928809,0.26166,1.08934,0.564969,0.268036,2.165581,0.207176,-0.079498,-1.311408,0.971331,1
0.417985,0.340641,-0.322418,0.27203,-0.193157,-1.268335,-1.916469,-1.81014,-1.537631,-1.394486,-1.244319,0.924029,0.519784,1.25179,1.006346,2.068101,0.82814,-0.026106,1.072649,0.132946,-0.461765,1.230655,1.132261,0.564456,1.121432,0.134456,0.101047,0.185765,3.1232,-0.334734,1.17897,0.402786,-0.309106,-0.10286,-0.997101,-0.774177,1.144523,1.366689,-1.608295,0.073864,0
-0.790353,1.216712,-1.136725,0.110227,1.718692,1.617462,0.912318,-0.080389,1.751771,1.091446,0.562321,-0.92376,-0.082762,-0.15386,-0.411324,-0.910769,0.45057,-0.492796,-2.603662,2.012943,-0.243133,-0.636409,0.753339,0.189083,0.311984,0.226179,1.205616,-0.559881,-1.44135,-0.284034,-0.071836,0.594315,0.124215,1.292604,-1.873731,1.470912,0.005596,-0.571603,0.925142,0.373019,1
0.607724,0.427286,-1.068866,-0.002331,0.268324,0.038441,-0.248715,0.517058,0.841044,0.41585,0.574446,0.937087,0.483631,-0.114184,0.497183,-1.021713,-0.843957,-0.471583,-1.453252,-0.337053,-0.183506,-0.476661,-1.264167,-0.413489,-1.266941,-0.619711,0.344255,-0.589706,2.246565,-0.649073,-0.151888,1.209222,-0.299258,-1.647837,0.17838,-1.06614,0.459151,-1.816931,-1.123379,-0.255208,1
-0.131259,-0.188852,1.374055,0.97552,1.586841,2.249071,1.325566,0.795866,0.679271,0.586389,-0.522876,-0.793174,-2.456792,-1.117409,-0.780717,-0.045399,-1.401323,-0.917059,-0.236151,0.913145,-0.173568,0.302115,-0.639457,1.216418,-0.187676,-2.077087,0.141581,1.508044,-1.179367,0.861781,0.398467,0.221338,-0.78182,-0.152698,-0.359552,0.423875,0.338203,-0.441045,-0.222822,0.243385,0
-0.281053,-0.718345,-0.339383,-1.134951,-1.643525,-1.420792,-0.470098,0.756037,0.169982,1.845753,1.962771,1.759777,1.694747,0.027514,-0.685873,0.076641,0.270774,-0.556435,0.447426,-0.073854,1.396607,0.062492,0.558757,0.258231,2.060793,-0.629902,-0.192829,-0.748778,0.150701,0.699541,-0.602178,-0.030673,0.26209,0.574937,-0.40936,-1.992365,1.295708,-0.712205,1.993935,0.921472,2
-1.429473,2.294954,2.027197,1.552382,1.742665,1.633797,1.758494,1.370553,0.763153,1.209512,-0.710815,-2.151266,-0.673257,-2.18865,-1.993723,-0.311666,-0.796012,-0.004893,-0.544594,-0.515653,0.70096,0.15235,0.630445,0.366891,0.811643,-0.028607,0.546928,-0.689126,1.077718,0.070864,-0.402049,-1.220166,0.055278,1.870724,-0.160318,-0.290929,1.940763,1.155786,-0.044689,0.014032,0
0.29815,0.619829,-1.408161,-2.351989,-1.943188,-0.800074,-1.286756,-0.359198,-0.177532,0.435527,-0.140935,1.387608,0.899387,0.582973,0.621978,1.041861,2.140647,1.211328,1.272721,0.790945,-0.094065,0.381989,0.179835,-0.9074,-0.827241,-1.159857,0.293586,0.155939,-0.867003,0.800941,0.908796,-0.151638,1.483268,-1.548161,-0.170279,-0.431877,-0.458038,-0.360701,0.796491,1.270487,2
